"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"about",0.0469092773314683,0,0,0,0,0.0331343308134975,0,0,0,0.0117935753742957,0,0.0463880631388964,0,0,0,0,0
"academic",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"achieve",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"across",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ahead",0.0346905937219139,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"also",0.0198374690602582,0,0,0,0,0,0,0,0,0.0099747725783219,0.0154871468979208,0,0.0280243610533806,0,0,0,0.00939114226788818
"and",0.0130457232508735,0.034024010822791,0.0283187651055547,0.00716709487239347,0,0.0122864483526745,0.0107506423085902,0.0154809249243699,0,0.010932856585007,0.0237645777347783,0.0258015415406165,0.00614322417633726,0,0.0161259634628853,0,0.0205863363355983
"artificial",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attending",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"being",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"between",0.0281179813542605,0,0,0,0,0,0,0,0,0,0,0.0556111186784263,0,0,0,0,0.0133111720240914
"bring",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"challenges",0.0281179813542605,0.0275000037420789,0.0305182968357217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"collaboration",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"countries",0.0918530975561874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cybersecurity",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"deal",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"defence",0.056235962708521,0.0275000037420789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133111720240914
"delegates",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"disruption",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"diverse",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"encourage",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"essential",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exchange",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"expertise",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fields",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"from",0.056235962708521,0,0,0.0463425988986886,0,0,0,0,0,0,0,0,0,0,0,0,0.0133111720240914
"gathered",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"goh",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"had",0.0346905937219139,0,0.0753039717378132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hard",0.0281179813542605,0,0.0305182968357217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133111720240914
"have",0.0168820262980807,0.016510992753068,0,0.0278240803801701,0,0,0.0208680602851275,0,0,0,0.0263596550970032,0,0,0,0,0,0.0239760692637636
"here",0.0281179813542605,0,0,0,0,0,0,0,0,0,0,0,0,0.0862931151906615,0.0521354237610247,0,0
"hopefully",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"how",0.0346905937219139,0,0,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"inaugural",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"increasingly",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"innovation",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"intelligence",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"interconnected",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"interesting",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"just",0.0346905937219139,0,0,0.0571752378009322,0,0,0,0,0,0,0,0,0,0,0,0,0
"lhl",0.00434857441695783,0.00425300135284887,0.00471979418425911,0.00716709487239347,0,0.00614322417633726,0.0053753211542951,0.0154809249243699,0,0.00437314263400279,0.00339493967639691,0.00860051384687216,0.00614322417633726,0,0.00806298173144265,0,0.00205863363355983
"many",0.056235962708521,0,0,0,0,0.0397222276274474,0,0,0,0,0,0,0,0,0,0,0.0133111720240914
"mci",0.0122186836095544,0.0119501411126411,0,0.0201382007638952,0.362487613750113,0,0.0151036505729214,0,0.271865710312585,0,0,0,0,0,0.0226554758593821,0,0.0115687536303228
"military",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"more",0.0281179813542605,0,0,0,0,0.0397222276274474,0.0347569491740164,0,0,0,0,0,0,0,0,0,0
"not",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ours",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"participants",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"photo",0.0122186836095544,0,0.0132617419664676,0.0201382007638952,0.362487613750113,0,0.0151036505729214,0.0434985136500136,0.271865710312585,0,0,0,0,0,0.0226554758593821,0,0
"private",0.0346905937219139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"public",0.0234546386657342,0.0229391521016521,0,0,0,0,0,0,0,0,0.0183110775548275,0,0,0,0,0,0.0111035257513316
"rapid",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sectors",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sgtechsummit",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"singapore",0.00860151400407839,0.0420623487012625,0.0093357895897924,0,0,0.0121513451803647,0,0,0,0,0.0134304341467189,0.0170118832525106,0,0.0527954997491708,0.0318972810984574,0.0729080710821883,0.0203599666585898
"some",0.0918530975561874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"summit",0.0206188278608545,0.0100828334044838,0,0,0,0,0,0,0,0.00518382960343518,0.0321943101687027,0,0.029128185390731,0.0316392358554492,0.0382307433253345,0.0436922780860965,0.0146415612735323
"talked",0.0346905937219139,0,0,0,0,0,0,0,0,0,0,0.0686102853611187,0,0,0,0,0
"technological",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"technology",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the",0.00811560654569981,0.0099215519583418,0.00880840222643029,0.0100317914245456,0,0.00859867836389623,0.0050158957122728,0.00722288982567283,0,0.00918163960890614,0.0126717365362681,0.0200635828490912,0.0171973567277925,0.0186798874801884,0.0112857653526138,0.00859867836389623,0.0115258880196907
"their",0.0168820262980807,0.016510992753068,0.0183231748845022,0,0,0,0.0208680602851275,0,0,0,0.0131798275485016,0,0,0,0,0,0.00799202308792119
"they",0.0469092773314683,0,0,0,0,0.0331343308134975,0.0289925394618103,0,0,0,0,0,0,0,0,0,0.0111035257513316
"this",0.00860151400407839,0,0,0.0141765693770922,0,0.0121513451803647,0,0.0306213898545191,0,0,0.0201456512200783,0.0170118832525106,0.0121513451803647,0.0263977498745854,0.0159486405492287,0,0.0244319599903078
"told",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"used",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"very",0.0346905937219139,0,0,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"views",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"which",0.0281179813542605,0,0,0,0,0,0,0,0,0,0.021951757373063,0,0.0397222276274474,0,0,0,0
"will",0.0198374690602582,0,0.0215309115410119,0,0,0,0,0,0,0.0099747725783219,0,0,0.0280243610533806,0,0,0,0.00939114226788818
"with",0.0206188278608545,0,0.0223789717026348,0,0,0.0145640926953655,0.0127435811084448,0,0,0,0.00804857754217568,0.0203897297735117,0.029128185390731,0.0316392358554492,0,0,0.00488052042451078
"world",0.0234546386657342,0.0229391521016521,0,0,0,0,0,0,0,0,0.0366221551096551,0.0463880631388964,0,0,0,0,0
"yet",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"affairs",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328453493750036
"agencies",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"agreed",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"all",0,0.0119501411126411,0,0.0201382007638952,0,0,0.0151036505729214,0.0434985136500136,0,0.00614385786017141,0.0190782954605323,0,0.0172613149404816,0,0,0,0.00578437681516138
"appreciation",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attended",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bright",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"challenge",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"coming",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"commercial",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"communications",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"dprkusa",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"effort",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"events",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"everything",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"for",0,0.0207043260202102,0.0153178346978791,0.0232604156523349,0,0,0,0,0,0.0035481989978138,0.00550904581239511,0.0139562493914009,0.00996874956528638,0.0216562490556221,0.0130839838044384,0.0299062486958591,0.0233841412675069
"getting",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"government",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"home",0,0.0678563261813261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328453493750036
"host",0,0.0275000037420789,0,0,0,0,0,0,0,0,0.021951757373063,0,0,0,0,0,0.0133111720240914
"information",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"knew",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lay",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"less",0,0.0339281630906631,0,0,0,0.0490073466865133,0,0,0,0,0,0,0,0,0,0,0
"logistical",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"made",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"magnificent",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mindef",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"ministry",0,0.0825000112262368,0.0305182968357217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532446880963656
"nsfs",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"officers",0,0.0825000112262368,0,0,0,0,0,0,0,0,0.021951757373063,0,0,0,0,0,0.0133111720240914
"operational",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"our",0,0.0582044421877905,0,0.0326950878956107,0,0,0.024521315921708,0,0,0,0.0309742937958417,0,0,0,0,0,0.0281734268036645
"proud",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ready",0,0.0339281630906631,0.0376519858689066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"regular",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rising",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"security",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492680240625054
"servicemen",0,0.0339281630906631,0,0,0,0,0,0,0,0,0.0270830073793889,0,0,0,0,0,0
"shine",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sponsors",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stage",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"team",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"than",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thank",0,0.0275000037420789,0,0,0,0,0,0,0,0,0.021951757373063,0,0,0,0,0,0.0133111720240914
"that",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"today",0,0.0229391521016521,0,0,0,0.0331343308134975,0,0,0,0,0,0,0,0.0719814772844945,0,0.0994029924404924,0
"together",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"two",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"want",0,0.0339281630906631,0,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"weeks",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"when",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yesterday",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"you",0,0.0119501411126411,0.0397852258994027,0.0402764015277903,0,0.0172613149404816,0.0151036505729214,0,0,0,0.0190782954605323,0.0241658409166742,0,0,0,0,0.00578437681516138
"are",0,0,0.0430618230820238,0.0326950878956107,0,0.0560487221067612,0.024521315921708,0,0,0,0,0,0,0,0,0,0.0187822845357764
"back",0,0,0.0996942156402522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"best",0,0,0.0376519858689066,0,0,0,0,0,0,0,0,0,0.0490073466865133,0,0,0,0
"break",0,0,0.0996942156402522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"catch",0,0,0.0376519858689066,0,0,0,0,0,0,0,0,0,0.0490073466865133,0,0,0,0
"continue",0,0,0.0996942156402522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"courtesy",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"day",0,0,0.0376519858689066,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"eager",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"education",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"everyone",0,0,0.0610365936714435,0.0463425988986886,0,0,0,0,0,0.0141384200029897,0,0,0,0,0,0,0
"families",0,0,0.0376519858689066,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"family",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"first",0,0,0.0254568639176871,0,0,0,0,0,0,0,0.0183110775548275,0,0.0331343308134975,0.0719814772844945,0,0,0
"good",0,0,0.0915548905071652,0,0,0,0,0,0,0,0,0,0,0,0.0521354237610247,0,0.0133111720240914
"guide",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hope",0,0,0.0915548905071652,0,0,0,0.0347569491740164,0,0,0,0,0,0.0397222276274474,0,0,0,0
"impart",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inspire",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"its",0,0,0.0305182968357217,0,0,0.0397222276274474,0,0,0,0,0,0.0556111186784263,0,0,0,0,0
"last",0,0,0.0305182968357217,0,0,0,0,0.100100013621167,0,0,0,0,0.0397222276274474,0,0,0,0
"month",0,0,0.0376519858689066,0,0,0,0,0,0,0.01744329288842,0,0,0,0,0,0,0
